Area,Area Code,Year,Value
Iraq,103,1979,220000
Iraq,103,1980,270000
Iraq,103,1981,300000
Iraq,103,1982,700000
Iraq,103,1983,500000
Iraq,103,1984,550000
Iraq,103,1985,650000
Iraq,103,1986,700000
Iraq,103,1987,750000
Iraq,103,1988,760000
Iraq,103,1989,1050000
Iraq,103,1990,800000
Iraq,103,1991,36000
Iraq,103,1992,110000
Iraq,103,1993,105000
Iraq,103,1994,155000
Iraq,103,1995,168000
Iraq,103,1996,173000
Iraq,103,1997,190000
Iraq,103,1998,200000
Iraq,103,1999,220000
Iraq,103,2000,230000
Iraq,103,2001,280000
Iraq,103,2002,320000
Iraq,103,2003,240000
Iraq,103,2004,300000
Iraq,103,2005,370000
Iraq,103,2006,400000
Iraq,103,2007,450000
Iraq,103,2008,275000
Iraq,103,2009,270000
Iraq,103,2010,340000
Iraq,103,2011,380000
Iraq,103,2012,380000
Iraq,103,2013,511980
Iraq,103,2014,379680
Iraq,103,2015,448020
Japan,110,1961,722131.88
Japan,110,1962,906686.88
Japan,110,1963,992462.5
Japan,110,1964,1210820
Japan,110,1965,1337160
Japan,110,1966,1378100
Japan,110,1967,1589630
Japan,110,1968,1763210
Japan,110,1969,1997080
Japan,110,1970,2250450
Japan,110,1971,2368350
Japan,110,1972,2334900
Japan,110,1973,2436890
Japan,110,1974,2494970
Japan,110,1975,2421630
Japan,110,1976,2406690
Japan,110,1977,2552610
Japan,110,1978,2726368.75
Japan,110,1979,2824880.62
Japan,110,1980,2846599.38
Japan,110,1981,2862840
Japan,110,1982,2991280
Japan,110,1983,3072880
Japan,110,1984,3196050
Japan,110,1985,3276920
Japan,110,1986,3365940
Japan,110,1987,3429480
Japan,110,1988,3453710
Japan,110,1989,3436180
Japan,110,1990,3378570
Japan,110,1991,3315260
Japan,110,1992,3346580
Japan,110,1993,3338140
Japan,110,1994,3236600
Japan,110,1995,3135360
Japan,110,1996,3087680
Japan,110,1997,3073510
Japan,110,1998,3030220
Japan,110,1999,2962500
Japan,110,2000,2957920
Japan,110,2001,2924370
Japan,110,2002,2874040
Japan,110,2003,2839420
Japan,110,2004,2795000
Japan,110,2005,2652000
Japan,110,2006,2806420
Japan,110,2007,2885310
Japan,110,2008,2846510
Japan,110,2009,2853490
Japan,110,2010,2860000
Japan,110,2011,1785460
Japan,110,2012,1776070
Japan,110,2013,3064080
Japan,110,2014,3105530
Japan,110,2015,2997234.16
Kenya,114,1961,80000
Kenya,114,1962,83000
Kenya,114,1963,85000
Kenya,114,1964,88000
Kenya,114,1965,91000
Kenya,114,1966,94000
Kenya,114,1967,97000
Kenya,114,1968,100000
Kenya,114,1969,120800
Kenya,114,1970,118715
Kenya,114,1971,130000
Kenya,114,1972,140000
Kenya,114,1973,150000
Kenya,114,1974,160000
Kenya,114,1975,165300
Kenya,114,1976,163100
Kenya,114,1977,167400
Kenya,114,1978,171000
Kenya,114,1979,167600
Kenya,114,1980,164000
Kenya,114,1981,172500
Kenya,114,1982,180000
Kenya,114,1983,196610
Kenya,114,1984,153720
Kenya,114,1985,200000
Kenya,114,1986,210000
Kenya,114,1987,220000
Kenya,114,1988,230000
Kenya,114,1989,240000
Kenya,114,1990,252280
Kenya,114,1991,248460
Kenya,114,1992,258700
Kenya,114,1993,208230
Kenya,114,1994,226320
Kenya,114,1995,272960
Kenya,114,1996,283320
Kenya,114,1997,292960
Kenya,114,1998,297180
Kenya,114,1999,264460
Kenya,114,2000,262910
Kenya,114,2001,270310
Kenya,114,2002,278710
Kenya,114,2003,282830
Kenya,114,2004,259060
Kenya,114,2005,268570
Kenya,114,2006,277720
Kenya,114,2007,306250
Kenya,114,2008,329870
Kenya,114,2009,318280
Kenya,114,2010,303980
Kenya,114,2011,309660
Kenya,114,2012,345830
Kenya,114,2013,398720
Kenya,114,2014,424130
Kenya,114,2015,414724.37
Republic of Korea,117,1961,112180
Republic of Korea,117,1962,130470
Republic of Korea,117,1963,119070
Republic of Korea,117,1964,102820
Republic of Korea,117,1965,140080
Republic of Korea,117,1966,170790
Republic of Korea,117,1967,259680
Republic of Korea,117,1968,226510
Republic of Korea,117,1969,234770
Republic of Korea,117,1970,259030
Republic of Korea,117,1971,245370
Republic of Korea,117,1972,230710
Republic of Korea,117,1973,188140
Republic of Korea,117,1974,239390
Republic of Korea,117,1975,263250
Republic of Korea,117,1976,302240
Republic of Korea,117,1977,342000
Republic of Korea,117,1978,407530
Republic of Korea,117,1979,411210
Republic of Korea,117,1980,401300
Republic of Korea,117,1981,429990
Republic of Korea,117,1982,465920
Republic of Korea,117,1983,472390
Republic of Korea,117,1984,464830
Republic of Korea,117,1985,510810
Republic of Korea,117,1986,560950
Republic of Korea,117,1987,593240
Republic of Korea,117,1988,584670
Republic of Korea,117,1989,616890
Republic of Korea,117,1990,744630
Republic of Korea,117,1991,748550
Republic of Korea,117,1992,733240
Republic of Korea,117,1993,729460
Republic of Korea,117,1994,805690
Republic of Korea,117,1995,858000
Republic of Korea,117,1996,828290
Republic of Korea,117,1997,882510
Republic of Korea,117,1998,858480
Republic of Korea,117,1999,945870
Republic of Korea,117,2000,1025470
Republic of Korea,117,2001,1023930
Republic of Korea,117,2002,1016930
Republic of Korea,117,2003,990190
Republic of Korea,117,2004,1067360
Republic of Korea,117,2005,1096280
Republic of Korea,117,2006,1191810
Republic of Korea,117,2007,1193650
Republic of Korea,117,2008,1197840
Republic of Korea,117,2009,1387680
Republic of Korea,117,2010,1492000
Republic of Korea,117,2011,1495110
Republic of Korea,117,2012,1468360
Republic of Korea,117,2013,1513370
Republic of Korea,117,2014,1564100
Republic of Korea,117,2015,1641300
Russian Federation,185,1992,6301518.07
Russian Federation,185,1993,6301518.07
Russian Federation,185,1994,5481336.31
Russian Federation,185,1995,4830576.78
Russian Federation,185,1996,4154581.24
Russian Federation,185,1997,3664812.42
Russian Federation,185,1998,3547016.82
Russian Federation,185,1999,3501678.55
Russian Federation,185,2000,3403336.65
Russian Federation,185,2001,3304270
Russian Federation,185,2002,3353560
Russian Federation,185,2003,3370270
Russian Federation,185,2004,3326620
Russian Federation,185,2005,3329535.39
Russian Federation,185,2006,3479000.93
Russian Federation,185,2007,3408344.28
Russian Federation,185,2008,3510580
Russian Federation,185,2009,3662820
Russian Federation,185,2010,3905340
Russian Federation,185,2011,4060070
Russian Federation,185,2012,4277770
Russian Federation,185,2013,4467890
Russian Federation,185,2014,4483710
Russian Federation,185,2015,4752420
South Africa,202,1961,185000
South Africa,202,1962,190000
South Africa,202,1963,195000
South Africa,202,1964,200000
South Africa,202,1965,205000
South Africa,202,1966,210000
South Africa,202,1967,215000
South Africa,202,1968,220000
South Africa,202,1969,220000
South Africa,202,1970,225000
South Africa,202,1971,260000
South Africa,202,1972,290000
South Africa,202,1973,335000
South Africa,202,1974,246000
South Africa,202,1975,250000
South Africa,202,1976,260000
South Africa,202,1977,270000
South Africa,202,1978,280000
South Africa,202,1979,290000
South Africa,202,1980,300000
South Africa,202,1981,310000
South Africa,202,1982,315000
South Africa,202,1983,320000
South Africa,202,1984,340000
South Africa,202,1985,360000
South Africa,202,1986,380000
South Africa,202,1987,400000
South Africa,202,1988,420000
South Africa,202,1989,440000
South Africa,202,1990,870000
South Africa,202,1991,880000
South Africa,202,1992,880000
South Africa,202,1993,920000
South Africa,202,1994,950000
South Africa,202,1995,1000000
South Africa,202,1996,1100000
South Africa,202,1997,1150000
South Africa,202,1998,1130000
South Africa,202,1999,1190000
South Africa,202,2000,1260000
South Africa,202,2001,1380000
South Africa,202,2002,1480000
South Africa,202,2003,1440000
South Africa,202,2004,1450000
South Africa,202,2005,1210000
South Africa,202,2006,1258400
South Africa,202,2007,1410000
South Africa,202,2008,1700000
South Africa,202,2009,1850000
South Africa,202,2010,1970000
South Africa,202,2011,2000000
South Africa,202,2012,2000000
South Africa,202,2013,1616000
South Africa,202,2014,1607000
South Africa,202,2015,1620000
Spain,203,1961,342100
Spain,203,1962,362480
Spain,203,1963,418220
Spain,203,1964,409733.4
Spain,203,1965,373680
Spain,203,1966,415500
Spain,203,1967,444072.3
Spain,203,1968,476622.19
Spain,203,1969,488921.41
Spain,203,1970,451965.59
Spain,203,1971,710000
Spain,203,1972,810000
Spain,203,1973,920000
Spain,203,1974,930000
Spain,203,1975,970000
Spain,203,1976,1070000
Spain,203,1977,1140000
Spain,203,1978,1080000
Spain,203,1979,1060000
Spain,203,1980,1070000
Spain,203,1981,1220000
Spain,203,1982,1170000
Spain,203,1983,1120000
Spain,203,1984,1080000
Spain,203,1985,1100000
Spain,203,1986,1020000
Spain,203,1987,1060000
Spain,203,1988,1110000
Spain,203,1989,1110000
Spain,203,1990,1090000
Spain,203,1991,1140000
Spain,203,1992,1150000
Spain,203,1993,1120000
Spain,203,1994,1160000
Spain,203,1995,1220000
Spain,203,1996,1260000
Spain,203,1997,1260000
Spain,203,1998,1270000
Spain,203,1999,1270000
Spain,203,2000,1280000
Spain,203,2001,1280000
Spain,203,2002,1280000
Spain,203,2003,1280000
Spain,203,2004,1290000
Spain,203,2005,1300000
Spain,203,2006,1350000
Spain,203,2007,1370000
Spain,203,2008,1380000
Spain,203,2009,1380000
Spain,203,2010,1380000
Spain,203,2011,1380000
Spain,203,2012,1380000
Spain,203,2013,1380000
Spain,203,2014,1380000
Spain,203,2015,1382343.83
Syrian Arab Republic,212,1961,28595.3
Syrian Arab Republic,212,1962,33558
Syrian Arab Republic,212,1963,38670.7
Syrian Arab Republic,212,1964,37356.8
Syrian Arab Republic,212,1965,46748.1
Syrian Arab Republic,212,1966,40900
Syrian Arab Republic,212,1967,45995.5
Syrian Arab Republic,212,1968,42467.7
Syrian Arab Republic,212,1969,35856.3
Syrian Arab Republic,212,1970,36686.7
Syrian Arab Republic,212,1971,47849.3
Syrian Arab Republic,212,1972,51623.9
Syrian Arab Republic,212,1973,46137
Syrian Arab Republic,212,1974,54006.2
Syrian Arab Republic,212,1975,85716.4
Syrian Arab Republic,212,1976,58973.6
Syrian Arab Republic,212,1977,66450.6
Syrian Arab Republic,212,1978,126126.1
