Area,Area Code,Year,Value
Iraq,103,1997,8660
Iraq,103,1998,8900
Iraq,103,1999,8750
Iraq,103,2000,8300
Iraq,103,2001,8490
Iraq,103,2002,8840
Iraq,103,2003,8690
Iraq,103,2004,8690
Iraq,103,2005,9390
Iraq,103,2006,8990
Iraq,103,2007,9140
Iraq,103,2008,8190
Iraq,103,2009,7850
Iraq,103,2010,8220
Iraq,103,2011,8550
Iraq,103,2012,8568.5
Iraq,103,2013,8863.75
Iraq,103,2014,9269
Iraq,103,2015,9300
Japan,110,1961,7110
Japan,110,1962,7120
Japan,110,1963,7020
Japan,110,1964,7030
Japan,110,1965,7004
Japan,110,1966,6896
Japan,110,1967,6838
Japan,110,1968,6797
Japan,110,1969,6652
Japan,110,1970,6696
Japan,110,1971,6541
Japan,110,1972,6484
Japan,110,1973,6447
Japan,110,1974,6415
Japan,110,1975,6273
Japan,110,1976,6236
Japan,110,1977,6215
Japan,110,1978,6194
Japan,110,1979,6174
Japan,110,1980,6061
Japan,110,1981,6042
Japan,110,1982,6026
Japan,110,1983,6011
Japan,110,1984,5996
Japan,110,1985,5879
Japan,110,1986,5858
Japan,110,1987,5840
Japan,110,1988,5817
Japan,110,1989,5729
Japan,110,1990,5693
Japan,110,1991,5654
Japan,110,1992,5615
Japan,110,1993,5574
Japan,110,1994,5533
Japan,110,1995,5443
Japan,110,1996,5399
Japan,110,1997,5354
Japan,110,1998,5310
Japan,110,1999,5271
Japan,110,2000,5258
Japan,110,2001,4793
Japan,110,2002,4763
Japan,110,2003,4736
Japan,110,2004,4714
Japan,110,2005,4692
Japan,110,2006,4671
Japan,110,2007,4650
Japan,110,2008,4628
Japan,110,2009,4609
Japan,110,2010,4593
Japan,110,2011,4561
Japan,110,2012,4549
Japan,110,2013,4538
Japan,110,2014,4518
Japan,110,2015,4496
Kenya,114,1961,25200
Kenya,114,1962,25205
Kenya,114,1963,25210
Kenya,114,1964,25215
Kenya,114,1965,25220
Kenya,114,1966,25225
Kenya,114,1967,25230
Kenya,114,1968,25235
Kenya,114,1969,25240
Kenya,114,1970,25245
Kenya,114,1971,25250
Kenya,114,1972,25255
Kenya,114,1973,25260
Kenya,114,1974,25265
Kenya,114,1975,25572
Kenya,114,1976,25578
Kenya,114,1977,25580
Kenya,114,1978,25580
Kenya,114,1979,25580
Kenya,114,1980,25580
Kenya,114,1981,25580
Kenya,114,1982,25580
Kenya,114,1983,25580
Kenya,114,1984,25505
Kenya,114,1985,26354
Kenya,114,1986,26373
Kenya,114,1987,26435
Kenya,114,1988,26662
Kenya,114,1989,27053
Kenya,114,1990,26770
Kenya,114,1991,26877
Kenya,114,1992,27072
Kenya,114,1993,26840
Kenya,114,1994,27232
Kenya,114,1995,27218
Kenya,114,1996,26451
Kenya,114,1997,26594
Kenya,114,1998,26458
Kenya,114,1999,26876
Kenya,114,2000,26671
Kenya,114,2001,26839
Kenya,114,2002,26818
Kenya,114,2003,26874
Kenya,114,2004,26992
Kenya,114,2005,27002
Kenya,114,2006,27054
Kenya,114,2007,27070
Kenya,114,2008,27085
Kenya,114,2009,27285
Kenya,114,2010,27320
Kenya,114,2011,27630
Kenya,114,2012,27730
Kenya,114,2013,27630
Kenya,114,2014,27630
Kenya,114,2015,27630
Republic of Korea,117,1961,2113
Republic of Korea,117,1962,2081
Republic of Korea,117,1963,2100
Republic of Korea,117,1964,2191
Republic of Korea,117,1965,2278
Republic of Korea,117,1966,2315
Republic of Korea,117,1967,2336
Republic of Korea,117,1968,2343
Republic of Korea,117,1969,2337
Republic of Korea,117,1970,2324
Republic of Korea,117,1971,2299
Republic of Korea,117,1972,2270
Republic of Korea,117,1973,2271
Republic of Korea,117,1974,2268
Republic of Korea,117,1975,2272
Republic of Korea,117,1976,2270
Republic of Korea,117,1977,2267
Republic of Korea,117,1978,2263
Republic of Korea,117,1979,2252
Republic of Korea,117,1980,2247
Republic of Korea,117,1981,2245
Republic of Korea,117,1982,2243
Republic of Korea,117,1983,2236
Republic of Korea,117,1984,2229
Republic of Korea,117,1985,2220
Republic of Korea,117,1986,2217
Republic of Korea,117,1987,2219
Republic of Korea,117,1988,2214
Republic of Korea,117,1989,2197
Republic of Korea,117,1990,2179
Republic of Korea,117,1991,2161
Republic of Korea,117,1992,2136
Republic of Korea,117,1993,2118
Republic of Korea,117,1994,2096
Republic of Korea,117,1995,2048
Republic of Korea,117,1996,2008
Republic of Korea,117,1997,1983
Republic of Korea,117,1998,1969
Republic of Korea,117,1999,1954
Republic of Korea,117,2000,1973
Republic of Korea,117,2001,1945
Republic of Korea,117,2002,1919
Republic of Korea,117,2003,1902
Republic of Korea,117,2004,1893
Republic of Korea,117,2005,1881
Republic of Korea,117,2006,1858
Republic of Korea,117,2007,1840
Republic of Korea,117,2008,1817
Republic of Korea,117,2009,1795
Republic of Korea,117,2010,1773
Republic of Korea,117,2011,1756.1
Republic of Korea,117,2012,1788
Republic of Korea,117,2013,1768.7
Republic of Korea,117,2014,1748.3
Republic of Korea,117,2015,1736
Russian Federation,185,1992,221631
Russian Federation,185,1993,218795
Russian Federation,185,1994,217711
Russian Federation,185,1995,216400
Russian Federation,185,1996,216111
Russian Federation,185,1997,217989
Russian Federation,185,1998,217287
Russian Federation,185,1999,216790
Russian Federation,185,2000,217162
Russian Federation,185,2001,216861
Russian Federation,185,2002,216651
Russian Federation,185,2003,216277
Russian Federation,185,2004,215980
Russian Federation,185,2005,215680
Russian Federation,185,2006,215488
Russian Federation,185,2007,215463
Russian Federation,185,2008,215494
Russian Federation,185,2009,215349
Russian Federation,185,2010,216601
Russian Federation,185,2011,216299
Russian Federation,185,2012,216249
Russian Federation,185,2013,216249
Russian Federation,185,2014,216249
Russian Federation,185,2015,216249
South Africa,202,1961,101335
South Africa,202,1962,100135
South Africa,202,1963,98995
South Africa,202,1964,97750
South Africa,202,1965,96610
South Africa,202,1966,96445
South Africa,202,1967,96180
South Africa,202,1968,95990
South Africa,202,1969,95790
South Africa,202,1970,95590
South Africa,202,1971,95390
South Africa,202,1972,95195
South Africa,202,1973,94990
South Africa,202,1974,94805
South Africa,202,1975,94585
South Africa,202,1976,94382
South Africa,202,1977,94320
South Africa,202,1978,94280
South Africa,202,1979,94210
South Africa,202,1980,94160
South Africa,202,1981,94100
South Africa,202,1982,94033
South Africa,202,1983,94033
South Africa,202,1984,94033
South Africa,202,1985,94033
South Africa,202,1986,94400
South Africa,202,1987,94650
South Africa,202,1988,94900
South Africa,202,1989,95300
South Africa,202,1990,95600
South Africa,202,1991,96005
South Africa,202,1992,96473
South Africa,202,1993,96936
South Africa,202,1994,97265
South Africa,202,1995,97520
South Africa,202,1996,97890
South Africa,202,1997,97945
South Africa,202,1998,97988
South Africa,202,1999,98058
South Africa,202,2000,98125
South Africa,202,2001,98013
South Africa,202,2002,98028
South Africa,202,2003,97928
South Africa,202,2004,97608
South Africa,202,2005,97483
South Africa,202,2006,96888
South Africa,202,2007,96890
South Africa,202,2008,97108
South Africa,202,2009,96988
South Africa,202,2010,96891
South Africa,202,2011,96374
South Africa,202,2012,96341
South Africa,202,2013,96341
South Africa,202,2014,96341
South Africa,202,2015,96341
Spain,203,1961,33230
Spain,203,1962,33232
Spain,203,1963,33137
Spain,203,1964,32753
Spain,203,1965,32694
Spain,203,1966,32156
Spain,203,1967,32382
Spain,203,1968,32159
Spain,203,1969,32527
Spain,203,1970,32119
Spain,203,1971,32684
Spain,203,1972,32568
Spain,203,1973,32280
Spain,203,1974,32078
Spain,203,1975,31921
Spain,203,1976,31516
Spain,203,1977,31590
Spain,203,1978,31478
Spain,203,1979,31355
Spain,203,1980,31238
Spain,203,1981,31206
Spain,203,1982,31191
Spain,203,1983,30791
Spain,203,1984,30628
Spain,203,1985,30712
Spain,203,1986,30610
Spain,203,1987,30601
Spain,203,1988,30578
Spain,203,1989,30701
Spain,203,1990,30472
Spain,203,1991,30371
Spain,203,1992,30279
Spain,203,1993,30033
Spain,203,1994,30183
Spain,203,1995,29719
Spain,203,1996,30139
Spain,203,1997,30059
Spain,203,1998,29958
Spain,203,1999,29778
Spain,203,2000,29766
Spain,203,2001,29520
Spain,203,2002,29419
Spain,203,2003,29153
Spain,203,2004,29071
Spain,203,2005,29164
Spain,203,2006,28613
Spain,203,2007,28004
Spain,203,2008,28142
Spain,203,2009,27970
Spain,203,2010,27545
Spain,203,2011,27014
Spain,203,2012,26942
Spain,203,2013,26733.2
Spain,203,2014,26578
Spain,203,2015,26576.5
Syrian Arab Republic,212,1961,14941
Syrian Arab Republic,212,1962,14970
Syrian Arab Republic,212,1963,15041
Syrian Arab Republic,212,1964,14854
Syrian Arab Republic,212,1965,14299
Syrian Arab Republic,212,1966,13630
Syrian Arab Republic,212,1967,13630
Syrian Arab Republic,212,1968,13421
Syrian Arab Republic,212,1969,13445
Syrian Arab Republic,212,1970,13459
Syrian Arab Republic,212,1971,13458
Syrian Arab Republic,212,1972,14161
Syrian Arab Republic,212,1973,14478
Syrian Arab Republic,212,1974,14517
Syrian Arab Republic,212,1975,14107
Syrian Arab Republic,212,1976,14213
Syrian Arab Republic,212,1977,14040
Syrian Arab Republic,212,1978,14009
Syrian Arab Republic,212,1979,13960
Syrian Arab Republic,212,1980,14062
Syrian Arab Republic,212,1981,14115
Syrian Arab Republic,212,1982,14113
Syrian Arab Republic,212,1983,13991
Syrian Arab Republic,212,1984,13973
Syrian Arab Republic,212,1985,13951
Syrian Arab Republic,212,1986,13920
Syrian Arab Republic,212,1987,13907
Syrian Arab Republic,212,1988,13733
Syrian Arab Republic,212,1989,13492
Syrian Arab Republic,212,1990,13495
Syrian Arab Republic,212,1991,13512
Syrian Arab Republic,212,1992,13613
Syrian Arab Republic,212,1993,13642
Syrian Arab Republic,212,1994,13786
Syrian Arab Republic,212,1995,13789
Syrian Arab Republic,212,1996,13790
Syrian Arab Republic,212,1997,13804
Syrian Arab Republic,212,1998,13754
Syrian Arab Republic,212,1999,13767
Syrian Arab Republic,212,2000,13711
Syrian Arab Republic,212,2001,13723
Syrian Arab Republic,212,2002,13759
Syrian Arab Republic,212,2003,13813
Syrian Arab Republic,212,2004,13905
Syrian Arab Republic,212,2005,13828
Syrian Arab Republic,212,2006,13877
Syrian Arab Republic,212,2007,13897
Syrian Arab Republic,212,2008,13898
Syrian Arab Republic,212,2009,13908
Syrian Arab Republic,212,2010,13908
Syrian Arab Republic,212,2011,13915
Syrian Arab Republic,212,2012,13921
Syrian Arab Republic,212,2013,13921
Syrian Arab Republic,212,2014,13921
Syrian Arab Republic,212,2015,13921
United States of America,231,1961,447509
United States of America,231,1962,443991
United States of America,231,1963,441443
United States of America,231,1964,439012
United States of America,231,1965,435873
United States of America,231,1966,435550
United States of America,231,1967,435307
United States of America,231,1968,435795
United States of America,231,1969,435447
United States of America,231,1970,434400
United States of America,231,1971,433300
United States of America,231,1972,432300
United States of America,231,1973,431200
United States of America,231,1974,430158
United States of America,231,1975,430158
